CIUDAD,TALLER,CONTACTO,MARCA,UBICACIÓN POR GPS
Santa Cruz,ST ADVANCE,77398239,Advance,"-17.7860671, -63.1983073"
Santa Cruz,ST ALESA,62074371,"TOSHIBA, LG (Televisores/Electrodomésticos), PHILIPS, BLACK & DECKER","-17.771074, -63.1592385"
Santa Cruz,ST ATLANTIS,73096099,"OSTER (Electromenor, sin microondas), MASTER G, MAGEFESA","-17.780938, -63.1776022"
Santa Cruz,ST BABYLISS,60957686,BABYLISS,"-17.8473356, -63.2425004"
Santa Cruz,ST BEURER,77072274,BEURER,"-17.7637107, -63.1741556"
Santa Cruz,ST CARLCARE,72027647,"INFINIX, TECNO","-17.7978541, -63.1775453"
Santa Cruz,ST COINCOM,67700233,"BRITANIA, COINCOM","-17.7728947, -63.2002727"
Santa Cruz,ST DEGENTEK,76687221,"UFESA, BOSCH","-17.7518889, -63.1745278"
Santa Cruz,ST DIGICORP,68922942,"MOIU, BLACKVIEW, TRANSFORMERS, HAVIT (no atiende cliente final)","-17.7802389, -63.1678945"
Santa Cruz,ST DISMAC,800102000,"Kernig, Consul, Blanik, Eversound, Whirlpool, KitchenAid, Metalfrio, JVC, Flux, Holstein, Indurama, Ventus, Mueller, Mallory, Ecogas, Splendid, Maxtron, Enxuta","-17.7639316, -63.14166"
Santa Cruz,ST DOSSA,71340499,"SAMSUNG, LG","-17.770924, -63.1593217"
Santa Cruz,ST ELECTROSMART,77365305 / 69512276,"REDBEAT, FREEYOUND","-17.7946873, -63.1878182"
Santa Cruz,ST GAMA,60957686,GAMA,"-17.8470657, -63.2425561"
Santa Cruz,ST GLEECON,76383305,GLEECON,"-17.767141, -63.2047309"
Santa Cruz,ST HUAVI,71399279,HUAVI,"-17.7970445, -63.1869238"
Santa Cruz,ST LUMITEC,69049300,"LA PAVONI, CATA","-17.7473494, -63.1745916"
Santa Cruz,ST ISE & E,70401969,EPSON,"-17.7868784, -63.2086375"
Santa Cruz,ST KAISEN,77603862,KAISEN,"-17.7922361, -63.1893763"
Santa Cruz,ST KARCHER,77375382,KARCHER,"-17.7168479, -63.1624456"
Santa Cruz,ST MARKAS,71611667,AIR MONSTER,"-17.8092725, -63.2150038"
Santa Cruz,ST MERCANTIL LEON,33364244,LORENZZETI,"-17.7834481, -63.1719087"
Santa Cruz,ST MORALES & COSSIO SRL,78467724,GOODYEAR,"-17.7814303, -63.1887088"
Santa Cruz,ST OSTER CPM,78931820,OSTER (Línea blanca y microondas),"-17.7846053, -63.2037006"
Santa Cruz,ST SASSER,78060388,SKEIWATCH,"-17.7537737, -63.164999"
Santa Cruz,ST SONY,71322575,"SONY, TCL, KENWOOD, DAEWOO (TV)","-17.7748333, -63.1751667"
Santa Cruz,ST SONITEL,71061869,"BRIARA, URSUS TROTTER","-17.7912326, -63.1706037"
Santa Cruz,ST STRAXX,60894696,REALME,"-17.794127, -63.1873935"
Santa Cruz,ST POLO SERVICES,71548548,"SAMSUNG, HONOR, NUBIA, ZTE","-17.7677991, -63.1819744"
Santa Cruz,ST PROBELL,70076112,WESTINGHOUSE (Electromenor),"-17.8013765, -63.2165685"
Santa Cruz,ST SUMAJ,75097319,AIWA,"-17.8038614, -63.187153"
Santa Cruz,ST TRAMONTINA,72663497,TRAMONTINA (en garantía solo vía DISMAC),"-17.8115833, -63.1858889"
Santa Cruz,ST TRIPLEX,78456823,"ELECTROLUX, WESTINGHOUSE (Línea blanca)","-17.702216, -63.1522998"
Santa Cruz,ST WEIDLING,78500682,"ARNO, KRUPS, MOULINEX, TEFAL","-17.7005278, -63.1493611"
Santa Cruz,ST ZEUS,78500785,TAURUS,"-17.8012625, -63.1996862"
Santa Cruz,ST ROCHI,77398907,"Brother, Nexxt","-17.7661072, -63.2005613"
Santa Cruz,ST LEMYR,71655948,Lemyr (Comunicarse antes de ir),"-17.76395532546722, -63.08648188207132"
Santa Cruz,ST FUSION,77338455,Beats,"-17.769118719713116, -63.20353854130613"
Sucre,,,,
,DIGICOM,70327944,OSTER - SONY - BRIARA - Ursus Trotter - DAEWOO -,"-19.03391, -65.25637"
Sucre,,,,
,Censel Bolivia S.R.L Regional Chuquisaca,67619918,LG - SAMSUNG - PHILLIPS - HISENSE - TOSHIBA - TRAMONTINA - PIONEER - UFESA - BOSCH - BABYLISSPRO - AIR MONSTER - BASSEL - GAMA,"-19.03105, -65.25572"
Sucre,,,,
,Electrónica Digital J.K.A Sucre,73447591,PANASONIC - ARNO - PREMIER - MOULINEX - MAGEFESA - IRT - PIONEER - CROWN - FUJITEL - MIDEA - IFFALCON - TCL - HAIER - MASTER G - KONKA,"-19.03373, -65.25648"
Sucre,,,,
,Servi.Refri,67869366,VC - KERNIG - MALLORY - HOLSTEIN - WHIRLPOOL - EVERSOUND - MAXTRON - JBL - FLUX - ENXUTA (RED DISMAC),"-19.0427, -65.25831"
Sucre,,,,
,Tienda DISMAC SUCRE,800 10 2000,REALME - TECNO - HONOR - XIAOMI - POCO,"-19.04522, -65.26022"
Sucre,,,,
,INNOMAQ ELECTRIC,73429389,SCHULZ - HONDA - SHINDAIWA - OREGON - DEWALT - BLACK AND DECKER - CITY - METABO - GOOD YEAR - KARCHER - DUCATI - STANLEY,"-19.044, -65.25108"
TARIJA,,,,
,Electronica Digital JKA Tarija,76186370 – 6739211,AIWA - MAGEFESA - MOULINEX - PREMIER - MASTER G - ARNO - teléfono: 76186370 – 6739211,"-21.53395, -64.72758"
TARIJA,,,,
,SERVITEC TARIJA,67384111,KARCHER - TV KERNIG - CONSUL - WHIRLPOOL - VENTUS - FLUX - SAMSUNG - PREMIER - MABE - GENERAL LUX - ELECTROLUX - INDURAMA - METALFRIO - PANASONIC -CHIQ - HACEB - DAKO - FRICON - GELOPAR - WESTPOINT - MELING - TRAMONTINA - NAIH - LEMYR - WINSTAR - AVI STAR - RED DISMAC,"-21.52885, -64.7357"
TARIJA,,,,
,"Refri Tec refrigeración ""Frio Gas""",69308611,"OSTER - MALLORY - EVERSOUND - BLANIK - MICROONDAS CONSUL, WHIRPOOL - HOLSTEIN - ENXUTA - LEMYR","-21.51669, -64.73191"
TARIJA,,,,
,CENSEL TARIJA,72948489,TOSHIBA - LG - SAMSUNG - PHILLIPS - HISENSE - TOSHIBA - TRAMONTINA - PIONEER - UFESA - BOSCH - BABYLISSPRO - AIR - GAMA MONSTER - BASSEL - TELEFONO 72948489,"-21.53429, -64.72738"
TARIJA,,,,
,Dismac - Tarija,800 10 2000,HONOR - REALME - TECNO - WAHL,"-21.53657, -64.73492"
Sucre,EPSON CENTRO AUTORIZADO SER - TEC - SYS,72875415,EPSON,"-19.055227, -65.263263"
Santa Cruz,NEVAL,63434317,BROTHER,"-17.791079431226606, -63.20505639020099"
TARIJA,SEYCOM,77172201,SONY - OSTER,"-21.524691023088753, -64.73097238380421"
SUCRE,MOTORHELP,75766070,MOTOS MOTORHELP,"-19.034621, -65.259522"
TARIJA,MOTORHELP,68660030,,
,MOTOS MOTORHELP,"-21.555223, -64.710344",,